text,v2_Custom-trained_Spacy_Person,v2_Custom-trained_Spacy_Location,Pre-trained_Spacy_Person,Pre-trained_Spacy_Location
"Meinung vorzubereiten. Dass wir nichts anderes vorhaben, das",[],[],[],[]
wurde durch all unser bisheriges Thun und Lassen erhärtet. So,[],[],[],['Thun']
ziehen wir selbst unserem Wirken die unanfechtbaren Grenzen:,[],[],[],[]
Wir wollen uns um das Wohl des jüdischen Volkes bemühen.,[],[],[],[]
(Stürmischer Beifall und Händeklatschen.) Das ist unser Recht. Es,[],[],[],[]
ist auch unsere Pflicht. (Erneuerter Beifall und Händeklatschen.),[],[],[],[]
"Dass diese Art, allgemeinen Schwierigkeiten durch einen",[],[],[],[]
"internationalen, freimüthigen Gedankenaustausch der Betheiligten",[],[],[],[]
"beizukommen, dem sittlichen Bewusstsein der jetzigen Cultur¬",[],[],[],[]
"menschheit bereits entspricht, das konnte man wahrnehmen, als",[],[],[],[]
der Friedensvorschlag Sr. Majestät des Kaisers von Russland die,[],['Russland'],[],['Russland']
Welt erfreute. (Lauter Beifall und anhaltendes Händeklatschen.,[],['Lauter'],[],['Lauter']
"Sie erinner sich, dass wir hier versammelt waren, als dieser",[],[],[],[]
"grossgedachte Vorschlag bekannt wurde, und dass der Zionisten¬",[],[],[],[]
"tongress die erste Körperschaft war, welche ihrer Begeisterung",[],[],[],[]
5,[],[],[],[]
Ausdruck geben konnte. Nun ist ein Jahr verstrichen. Die Friedens¬,[],[],[],[]
"idee hat ihren Weg in die Wirklichkeit hinaus begonnen, und das",[],[],[],[]
"ist schon sehr viel, auch wenn sie noch nicht am Ziel ist.",[],[],[],[]
Uns,[],[],[],[]
aber mag das Beispiel als eine Lehre der Geduld dienen. Wenn,[],[],[],[]
die Grossen dieser Erde sich mit langsamen Fortschritten ihrer,[],['Erde'],[],"['Grossen', 'Erde']"
"höchsten Ideen begnügen, wie zufrieden müssen wir armen Leute",[],[],[],[]
"sein, wenn wir feststellen können, dass es doch ein wenig vorwärts",[],[],[],[]
geht. (Lebhafter Beifall und Händeklatschen.),[],[],[],[]
Wir müssten unsere Arbeit also unverdrossen fortsetzen,[],[],[],[]
auch wenn es in dem abgelaufenen Jahre keine äusserlich merk-,[],[],[],[]
baren Fortschritte gegeben hätte. (Bravo Bravo!) Auch wenn,[],[],[],[]
"nichts vorgekommen wäre, was ein Erstarken unserer Bewegung.",[],[],[],[]
"einen Zuwachs ihres Anschens und ihrer Mittel bedeutete, müssten",[],['Zuwachs'],[],[]
wir unverdrossen fortarbeiten. (Allgemeine Zustimmung und,[],[],[],[]
Applaus.),[],['Applaus.'],[],[]
Aber dieses Jahr ist kein schlechtes für unsere Bewegung,[],[],[],[]
"gewesen. Es war ein gutes Jahr. Wir haben einiges erreicht, wir",[],[],[],[]
sind um ein Stück weiter gekommen,[],[],[],[]
"Ein bedeutendes Ereignis, das von unseren Gegner wie",[],[],[],[]
gewöhnlich theils verschwiegen und theils entstellt in die Oeffentlich¬,[],['Oeffentlich¬'],[],[]
"keit gebracht wurde, war der Empfang der zionistischen Ab¬",[],[],[],[]
"ordnung durch Se. Majestät, den deutschen Kaiser in Jerusalem. (Jubeln¬",[],['Jerusalem'],[],['Jerusalem.']
"der anhaltender Beifall, stürmischer Applaus und Händeklatschen.)",[],[],[],[]
"Schon die Thatsache allein, dass der geniale Kaiser seine Auf¬",[],['Thatsache'],[],[]
"merksamkeit unserem Volksgedanken zugewendet hat, wäre ge¬",[],[],[],[]
"nügend, uns einige Zuversicht zu geben. Geringfügige Bewegungen",[],[],[],[]
werden aus solcher Höhe nicht bemerkt. Aber es ist mehr als,[],[],[],[]
eine blosse Kenntnisnahme erfolgt. (Sehr richtig! Laute Zustimmung,[],[],[],[]
und lebhafter Beifall.) Es wurde nicht irgendeine jüdische Deputa¬,[],[],[],[]
"tion, es wurden nicht die Mitglieder irgendeines „praktischen“",[],[],[],[]
"Colonisationsvereines empfangen, sondern die Abordnung des",['Colonisationsvereines'],[],[],[]
zionistischen Actions-Comités. (Stürmischer Beifall.) Die Gründe,[],[],[],[]
"und Ziele unserer Bewegung waren vorher genau bekannt,",[],[],[],[]
und Seine Majestät der deutsche Kaiser hat uns daraufhin,[],[],[],[]
an einem für das gesammte Judenthum denkwürdigen Tage sein,[],[],[],['Judenthum']
"wohlwollendes Interesse zugesichert. (Lebhafter, langanhaltender Beifall",[],['Interesse'],[],[]
und Händeklatschen im Saale und auf der Gallerie.) Dafür sind,['Dafür'],[],[],['Saale']
ihm alle wahren Juden zur Dankbarkeit verpflichtet. (Stürmischer,[],[],[],[]
—,[],[],[],[]
Applaus,['Applaus'],[],[],[]
die Versammlung erhebt sich.),[],[],[],[]
"Geehrte Congressmitglieder! Sie werden verstehen, dass es",[],[],[],[]
"ein Gebot der Schicklichkeit ist, die glückliche und bedeutsame",[],[],[],[]
Thatsache des unter solchen Umständen erfolgten Jerusalemer,[],['Thatsache'],[],[]
Empfanges nicht agitatorisch auszunützen. (Allgemeine Zustimmung.),[],['Empfanges'],[],[]
"Wir wollen uns daher enthalten, hier irgendeine Discussion daran",[],[],[],[]
zu knüpfen. (Beifall.) Eines müssen wir in unserer freudigen Dank¬,[],['Dank¬'],[],[]
barkeit aber dennoch hervorheben: Die vollkommene Legalität,[],[],[],[]
6 —,[],[],[],[]
und Loyalität unserer so hoch geehrten Bewegung ist nach diesem,[],[],[],[]
Ereignis wohl für immer äusser Frage.,[],[],[],[]
"Natürlich legen wir das grösste Gewicht darauf, diese",['Natürlich'],[],[],[]
Loyalität vor allem der türkischen Regierung gegenüber zu be-,[],[],[],['türkischen Regierung']
tonen und zu beweisen. (Stürmischer Beifall und Händeklatschen.),[],[],[],[]
"Von uns wird kein Schritt unternommen, der auch nur entfernt",[],[],[],[]
das gerechte Misstrauen des souveränen Besitzers von Palästina,[],"['Misstrauen', 'Palästina']",[],[]
erwecken könnte. Wir wollen und können dem osmanischen Reiche,[],[],[],['osmanischen Reiche']
"die grössten Vortheile bringen, folglich können wir ganz offen auf-",[],[],[],[]
"treten. Wer sich irgendwo einschleicht, hat gewöhnlich nicht die",[],[],[],[]
"Absicht, etwas zu bringen. (Lebhafte Zustimmung.) Dies war das",[],[],[],[]
"Raisonnement, das wohlverständliche, welches zu den jetzt in",[],[],[],[]
Palästina bestehenden Einwanderungsschwierigkeiten führte. Wir,[],['Palästina'],[],['Palästina']
haben sie nicht hervorgerufen; sie sind bekanntlich älteren,[],[],[],[]
"Datums, als die hier vertretene Bewegung. Aber wenn man uns",['Datums'],[],[],[]
"auch nicht beschuldigen darf, das Einwanderungsverbot ver-",[],[],[],[]
"ursacht zu haben, so wollen wir doch deutlich angeben, wie wir",[],[],[],['ursacht']
uns dazu stellen.,[],[],[],[]
Wie? Man wollte eine Bevölkerung in einem Lande ansässig,[],[],[],[]
"machen, ohne vorher den ganzen Plan offen erklärt zu haben?",[],[],[],[]
"Kommt Einer bei Nacht und Nebel heimlich heran, so darf er",['Nebel'],['Kommt'],[],[]
"sich nicht wundern, wenn man ihm Halt! Wer da? entgegenruft.",[],[],[],[]
"Und umso schlimmer für ihn, wenn er darauf keine gute, klare",[],[],[],[]
Antwort geben kann. Uebrigens ist das auch gar nicht die,[],[],[],[]
"Situation, in der irgendeine Antwort unverdächtig klingt. Wir",[],[],[],[]
machen es darum anders. Wir erklären unsere Absichten am hellen,[],[],[],[]
"Tage, den wir Gott sei dank nicht zu scheuen haben, und wir wollen",[],[],[],[]
"die Billigung erwirken, bevor wir etwas unternehmen, was sonst",[],['bevor'],[],[]
das verantwortungsschwerste aller Experimente wäre. (Lebhafte,[],[],[],[]
"Zustimmung.) Denn es handelt sich nicht nur darum, die Leute",[],[],[],[]
"hinzukriegen, sondern sie auch dort zu behalten. Und zwar in",[],[],[],[]
guter Sicherheit. (Langandauernder lebhafter Beifall und Hände¬,['Hände¬'],[],['Langandauernder'],[]
klatschen.,[],['klatschen'],[],[]
"Leider gibt es viele unserer Brüder, denen es nicht mehr",[],[],[],[]
"schlechter gehen kann, und darum alles acceptieren. Aber um den",[],[],[],[]
"Kranken nur von einer Seite auf die andere zu legen, brauchte",[],['Kranken'],[],[]
"nicht so viel Scharfsinn, Mühe und Geld aufgewendet zu werden.",[],['Geld'],[],[]
"Versuchen wir lieber, ihn zu heilen. Das ist ein so grosser Zweck,",[],['Zweck'],[],[]
"er ist so vernünftig und einleuchtend, dass niemand mehr nach",[],[],[],[]
geheimen Beweggründen forschen wird. Warum sollten wir das,[],[],[],[]
also nicht gerade heraussagen? Es wird ja dadurch alles mit einem,[],[],[],[]
"Schläge verständlich, was wir vorhaben. Es gibt kein Misstrauen",[],[],[],[]
"mehr. Wir betreten den Boden der Verhandlungen, die früher oder",[],[],[],[]
"später zu einem Ergebnisse führen werden, wenn wir nur einig",[],[],[],[]
vorgehen und unsere Kräfte zusammenhalten. (Lebhafter Beifall,[],[],[],[]
und Händeklatschen.),[],[],[],[]
7,[],[],[],[]
—,[],[],[],[]
Darum haben wir vor allem den elektrischen Strom unserer,[],[],[],[]
Einheit erzeugt und wollen ihn immer noch verstärken. Und es,[],[],[],[]
soll niemand einen Theil dieses Stromes abzweigen und ableiten.,[],[],[],[]
Es wäre ein Frevel an der Gesammtheit. (Lebhafte Zustimmung.),[],[],[],[]
Auf diesem Congresse sind bekanntlich noch nicht alle,[],[],[],[]
"Zionisten vertreten. Unsere Bewegung ist noch viel grösser, als",[],[],[],[]
sie hier in die Erscheinung tritt. Eine ansehnliche Gruppe hoch¬,[],[],[],[]
verdienter Zionisten der älteren Richtung hängt noch an der vor,[],[],[],[]
"uns befolgten Methode. Wir geben die Hoffnung nicht auf, sie",[],[],[],[]
brüderlich zu unseren Anschauungen zu bekehren. (Lebhafter Bei¬,[],['Bei¬'],[],[]
fall und Händeklatschen.) In der Idee trennt uns nichts. Die beste,[],[],[],[]
Form der Ausführung müssen wir gemeinsam suchen.,[],[],[],[]
Wieder andere Zionisten und zwar die an materiellen Mitteln,[],[],[],[]
"mächtigsten, wären mit uns vollkommen einverstanden, wenn wir",[],[],[],[]
nicht das Verfahren der öffentlichen Discussion wählten. Werden,[],[],[],[]
"wir aber ein Ergebnis erzielen, so werden sie mit uns sein. (Bravo!",[],[],[],[]
"Früher brauchen wir sie nicht, dann werden wir sie",[],[],[],[]
bravo!),[],[],[],[]
haben. (Lebhafter Beifall und Händeklatschen.) Es besteht darüber,[],[],[],[]
heute kein Zweifel mehr.,[],[],[],[]
Welcher Art soll nun dieses Ergebnis sein? Sagen wir es mit,[],[],[],[]
Einem Wort: Ein Charter! Unsere Bemühungen sind darauf ge¬,[],['Einem Wort'],[],[]
"richtet, einen Charter von der türkischen Regierung zu erlangen,",[],[],[],['türkischen Regierung']
einen Charter unter der Souveränetät Sr. Majestät des Sultans.,[],[],[],[]
"Erst wenn wir im Besitze dieses Charters sind, welcher die nöthigen",[],[],[],[]
"öffentlich rechtlichen Sicherheiten enthalten muss, können wir eine",[],[],[],[]
grosse praktische Colonisation beginnen. (Lebhafter Beifall und,[],[],[],[]
Händeklatschen.) Für die Gewährung dieses Charters werden wir,[],[],['Händeklatschen.'],[]
der türkischen Regierung grosse Vortheile vermitteln.,[],[],[],['türkischen Regierung']
Das konnte und kann aber nicht vom Congresse aus ge¬,[],[],[],[]
"schehen, der die hierzu erforderliche juristische Persönlichkeit",[],[],[],[]
nicht hat. Es müsste für diese Abmachungen ein eigener Contra¬,[],[],[],[]
hent geschaffen werden. Das ist die Jüdische Colonialbank. (Stür¬,[],['Colonialbank'],[],[]
"mischer, langanhaltender Beifall und Händeklatschen.) Wenn noch",[],[],[],[]
"irgend Jemand die Frage aufwerfen konnte, ob die zionistische",[],[],[],[]
Bewegung ein ernst zu nehmender Factor sei — die hunderttausend,[],[],[],[]
Subscribenten der Jüdischen Colonialbank haben darauf geant¬,[],['Colonialbank'],[],[]
"wortet. Aus Sibirien, von den Grenzen Chinas, und aus dem süd¬",[],"['Sibirien', 'Chinas']",[],[]
"lichsten Argentinien, von Canada und aus dem Transvaal ist die",[],"['Argentinien', 'Canada']",[],"['lichsten Argentinien', 'Canada', 'Transvaal']"
Antwort gekommen. (Erneuter lebhafter Beifall und Händeklatschen.),[],['Erneuter'],[],[]
Die Colonialbank existiert heute.,[],['Colonialbank'],[],[]
"Wir alle, die wir unserer Idee mit immer frischer Begeisterung",[],[],[],[]
"dienen, haben nicht die Gewohnheit, uns der gebrachten Opfer zu be-",[],[],[],[]
rühmen. Indem wir aber dem Congresse diesen beendigten Theil des,[],['rühmen'],[],['Congresse']
"Werkes vorlegen, dürfen wir uns einmal das Herz erleichtern und sagen,",[],[],[],[]
"dass es das bisher schwerste Opfer war, zu dem wir uns entschlossen.",[],[],[],[]
"Leute die nie etwas mit Geschäften zu thun gehabt, agitierten für die",[],[],[],[]
8,[],[],[],[]
Gründung einer Bank und setzten sich den kränkendsten Ver¬,[],[],[],[]
"dächtigungen aus. Es müsste sein, wir haben es gethan. Heute",[],[],[],[]
"übergeben wir das Werk dem Congresse, dem wir die vollständige",[],[],[],[]
Aufsicht über die redliche und den zionistischen Zwecken dienende,[],[],[],[]
Verwaltung der Bank gesichert haben. Der Congress wird durch,[],[],[],[]
seine jährlich neugewählten Vertreter über das Institut verfügen.,[],[],[],[]
"Es braucht wohl nicht erst gesagt zu werden, dass das Actien¬",[],[],[],[]
capital nicht zur Landerwerbung verwendet werden soll. Die Bank,[],[],['capital'],[]
ist nur ein Zwischenglied. Auf Grund des erlangten Charters,[],[],[],[]
"wird erst die eigentliche Landgesellschaft gegründet werden, und",[],[],[],[]
zwar selbstverständlich mit einem entsprechend grösseren Capital.,[],[],[],[]
Die Beschaffung gerade dieses grösseren Erfordernisses kann aber,[],[],[],[]
schon heute als gesichert angenommen werden (Lebhafter Beifall,[],[],[],[]
"und Händeklatschen), und wir werden Ihnen darüber zu gelegener",[],[],[],[]
"Zeit Mittheilungen machen, die jetzt nicht gemacht werden können.",[],[],[],[]
(Lebhafter Beifall und Händeklatschen.),[],[],[],[]
"All dies hat scheinbar den Charakter von Vorbereitungen,",[],[],[],[]
von zukünftigen Andeutungen. Es ist aber thatsächlich etwas so,[],['thatsächlich'],[],[]
"Praktisches und Gegenwärtiges wie eine Saat, die man dem Boden",[],['Praktisches'],[],[]
"anvertraut. Zuerst war es eine Saat von Gedanken, nun ist es",['Gedanken'],[],[],[]
"eine Saat von Einrichtungen. Es ist heute noch kein Brot, es ist",[],[],[],[]
nur das Brot von morgen.,[],[],[],[]
Die Allzusatten mit ihrer vom Wohlleben geschwächten Ein¬,[],[],[],[]
bildungskraft wollen uns freilich noch nicht verstehen. Umso besser,[],[],[],[]
verstehen uns die Armen und Mühseligen. (Lebhafter Beifall.) Sie,[],[],[],[]
"haben die Phantasie der Noth. Sie wissen von heute und gestern,",[],[],[],[]
wie weh auch morgen der Hunger thun wird. Und in dieser Lage,['Hunger'],[],[],[]
"sind viele, viele Hunderttausende unseres Volkes. Das aber sind",[],[],[],[]
"die Verlässlichsten unserer Genossen, die nicht einmal imstande",[],[],[],[]
"sind, den jährlichen kleinen Beitrag für die Agitation zu leisten.",[],[],[],[]
"Sie sind die besten Zionisten, weil bei ihnen die alte Volkstradition",[],[],[],[]
"noch unvergessen ist, weil sie ein starkes religiöses Gefühl haben",[],[],[],[]
und weil sie bittere Noth leiden. (Stürmischer Beifall und Hände¬,['Hände¬'],[],['leiden.'],[]
klatschen.) Schrecklich sind die Berichte aus vielen Gegenden.,['Schrecklich'],['klatschen.'],[],[]
Das Judenthum ist eine Massenherberge des Elends mit Filialen,[],['Massenherberge'],[],['Judenthum']
"in der ganzen Welt. Auch das soll man von dieser Tribüne hören,",[],[],[],[]
wie es die traurige Wahrheit ist. Und diese Zustände schreien,[],[],[],[]
nach einer Abhilfe. Aus der tiefen Noth entstehen Krankheiten,[],[],[],[]
"und sittliche Verwahrlosung, und die verdüsterten Gemüther",[],[],[],[]
werden ein Nährboden für alle äussersten Umsturzgedanken. Da,[],[],[],[]
wollen wir bessernd eingreifen. (Lebhafter Beifall.) In der ge¬,[],[],[],[]
"sunden Arbeit auf einer geliebten Erde, glauben wir, ist das Heil",[],['Erde'],['sunden'],[]
zu finden. (Lebhafter Beifall.) Die Arbeit soll unserem Volke das,[],[],[],[]
"morgige Brot verschaffen und auch die Ehre von morgen, die",[],[],[],[]
Freiheit von morgen. (Stürmischer Beifall und Händeklatschen im,[],[],[],[]
Saale und auf den Gallerien.),['Saale'],['Gallerien'],[],['Saale']
9,[],[],[],[]
An die Gerechten aller Confessionen und Nationen ergeht,[],[],[],[]
unser Ruf um Beistand. Wir brauchen keine andere Hilfe von,[],['Beistand'],[],[]
"aussen, als eine moralische. Es gibt Juden genug, die innerlich",[],[],[],[]
"mit uns eines Sinnes sind. Nur tragen manche ein Bedenken,",[],[],[],[]
"das zu zeigen, weil sie fürchten, man würde es ihnen übel aus¬",[],[],[],[]
"legen. Wer uns nun die moralische Hilfe leisten will, weil er",[],[],[],[]
"findet, dass wir etwas Rechtschaffenes unternehmen, der möge in",[],[],[],[]
"seinem Wirkungskreise verhüten, dass Missverständnisse über",[],[],[],[]
unsere Bewegung entstehen und dass man aus diesem Titel,[],[],[],[]
"wieder neue falsche Beschuldigungen, wie schon so oft, gegen uns",[],[],[],[]
erhebe. Diese heilsame Bewegung würde sonst eingeschüchtert,[],[],[],[]
werden und geriethe vielleicht ins Stocken. Welcher Gerechte,[],[],['geriethe'],[]
will das?,[],[],[],[]
"Hier ringt ein Volk um seine Existenz, Ehre und Freiheit.",[],[],[],[]
Es will aus einer Stickluft hinaus in den Sonnenschein. Die,[],[],[],[]
jetzigen Zustände der Juden können nach drei Wegen führen.,[],[],[],[]
Der eine wäre das dumpfe Ertragen von Schimpf und Noth. Der,[],[],[],[]
"andere die Auflehnung, die Feindschaft gegen eine stiefmütterliche",[],[],[],[]
Gesellschaft. Unser Weg ist der dritte; aufschwingen wollen wir,[],['Gesellschaft'],[],[]
"uns zu einer höheren Stufe der Gesittung, Wohlfahrt verbreiten,",[],[],[],[]
"dem Verkehre der Völker neue Strassen bauen, und für die sociale",[],[],[],[]
Gerechtigkeit einen Durchbruch suchen. (Stürmischer Beifall und,[],[],[],[]
Händeklatschen.) Und gleichwie unser lieber Dichter aus seinen,[],[],['Händeklatschen.'],[]
"Schmerzen Lieder schuf, so bereiten wir aus unseren Leiden",[],[],[],[]
"einen Fortschritt der Menschheit, der wir dienen. (Stürmischer,",[],[],[],[]
sich immer wieder erneuernder Beifall und Händeklatschen.,[],[],[],[]
Hüte- und Tücherschwenken auf den Gallerien.,[],['Gallerien'],[],[]
Redner wird,[],[],[],[]
von allen Seiten beglückwünscht.),[],[],[],[]
Der nächste Punkt der Tagesordnung ist die Wahl des,[],[],[],[]
Legitimations-Ausschusses. Ich bitte den Herrn Obmann der,['Herrn Obmann'],[],[],[]
"Permanenzcommission, den Vorschlag vorzulesen.",[],[],[],[]
"Ich bemerke dem Congresse, was übrigens die Herren aus dem",[],[],[],[]
"Ausschusse wissen, dass sich aus den Landsmannschaften ein Permanenz¬",[],[],[],[]
"Ausschuss gebildet hat, um die Durchführung der Wahlen zu erleichtern,",[],[],[],[]
und dass ein Vorschlag hier auf Grund der in diesem Ausschusse vor¬,[],[],[],['Ausschusse vor¬']
genommenen Nennungen,[],[],[],[]
erfolgen wird.,[],[],[],[]
Del. York-Steiner:,"['Del', 'York-Steiner']",[],[],['Del.']
Im Einverständnisse mit sämmtlichen Lands¬,[],[],[],[]
mannschaften schlage ich,[],[],[],[]
Ihnen für den Legitimations-Ausschuss,[],[],[],[]
folgende eilf Mitglieder,[],[],[],[]
vor:,[],[],[],[]
"Rosenbaum aus Minsk,",['Rosenbaum'],['Minsk'],[],['Minsk']
Meyer aus New-York.,['Meyer'],['New-York'],[],[]
Ingenieur Bruck aus Ekaterinoslaw,[],[],['Bruck'],[]
"Seidener aus Wien,",[],['Wien'],['Seidener'],['Wien']
"J. Stern aus Bukarest,",['J. Stern'],['Bukarest'],['J. Stern'],[]
"Dr. Friedemann aus Berlin,",['Dr. Friedemann'],['Berlin'],[],['Berlin']
A. Lindenberg aus,['A. Lindenberg'],[],['A. Lindenberg'],[]
"Bukarest,",[],['Bukarest'],[],[]
"Wolpe aus Frankfurt,",[],"['Frankfurt,']",['Wolpe'],"['Frankfurt,']"
"Kurzmann aus Rzeszow,",['Kurzmann'],['Rzeszow'],['Kurzmann'],[]
"Dr. Rosenheck aus Kolomea,",['Dr. Rosenheck'],['Kolomea'],[],[]
Rintel aus,[],[],[],['Rintel']
Rustschuk.,[],['Rustschuk'],[],[]
"Ich glaube, dass",[],[],[],[]
Sie diese Wahl per acclamationem vornehmen,[],[],[],[]
können.,[],[],[],[]
"Vors. Dr. Herzl: Es wird beantragt, die Wahl des Legitimations¬",['Dr. Herzl'],['Vors.'],[],[]
Ausschusses durch Acclamation vorzunehmen.,[],[],[],[]
Wenn kein Wider¬,[],[],[],[]
spruch dagegen erhoben wird (Nach einer Pause): so bringe ich die,[],[],[],[]
10,[],[],[],[]
"ganze Liste zur Abstimmung. Diejenigen, die für den Vorschlag der",[],[],[],[]
"Permanenz-Commission bezüglich des Legitimations-Ausschusses sind,",[],[],[],['Permanenz-Commission']
wollen die Hand erheben. (Geschieht.) Ich bitte um die Gegenprobe.,[],['Geschieht'],[],[]
(Nach einer Pause): Der Vorschlag ist angenommen. Die Herren,[],[],[],[]
werden sich dann constituieren und die Wahlprüfung vornehmen.,[],[],[],[]
Nun ist das Congress-Bureau vorzuschlagen.,[],[],[],['Congress-Bureau']
"Del. York-Steiner: Ehe ich, meine geehrten Damen und Herren, daran","['Del', 'York-Steiner']",[],[],[]
"gehe, die Nominierung des Congressbureaus vorzunehmen, möchte ich die",[],['Congressbureaus'],[],[]
"Aufklärung an sämmtliche Herren gegeben haben, dass alle diese",[],[],[],[]
Nominierungen im Einvernehmen mit den Landsmannschaften durch¬,[],[],[],[]
"geführt worden sind, und dass nach Möglichkeit alles berücksichtigt",[],[],[],[]
"wurde, was an Wünschen vorgebracht worden ist.",[],['Wünschen'],[],[]
Wir schlagen Ihnen vor als Präsidenten des Congresses,[],[],[],[]
"Herrn Dr. Theodor Herzl. (Stürmischer, langanhaltender Beifall und",['Herrn Dr. Theodor Herzl'],[],['Theodor Herzl.'],[]
Händeklatschen.),[],[],[],[]
Max Nordau,['Max Nordau'],[],['Max Nordau'],[]
Dr.,['Dr.'],[],[],[]
Herren,[],[],[],[]
die,[],[],[],[]
Zu Vicepräsidenten,[],[],[],[]
"(Stürmischer, langanhaltender Beifall und Händeklatschen), Dr. Moses","['Händeklatschen)', 'Dr. Moses']",[],[],[]
